Автор,Название (наше),Заголовок на Wikisource,URL,Качество совпадения
Баязит Бикбай,Туган тел,,,не найдено в категории
Мостай Кәрим,Билдәһеҙ һалдат,,,не найдено в категории
Кәтибә Кинйәбулатова,Әсә күңеле,Әсә күңеле(шиғыр). Абдулхаҡ Игебаев,https://wikisource.org/wiki/%D3%98%D1%81%D3%99_%D0%BA%D2%AF%D2%A3%D0%B5%D0%BB%D0%B5%28%D1%88%D0%B8%D2%93%D1%8B%D1%80%29._%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D1%85%D0%B0%D2%A1_%D0%98%D0%B3%D0%B5%D0%B1%D0%B0%D0%B5%D0%B2,совпадение только по названию
Мостай Кәрим,Әнием чирләгәндә,,,не найдено в категории
Мостай Кәрим,Өсөнсө көн тоташ ҡар яуа,,,не найдено в категории
Әсхәт Әхмәл-Хужа,Әсәйемә,,,не найдено в категории
Мостай Кәрим,Ҡайын япрағы тураһында,,,не найдено в категории
Вахитова Светлана,Билдәһеҙ һалдат ҡәбере,,,не найдено в категории
Мәүлит Ямалетдин,Туғыҙынсы май,,,не найдено в категории
Мәлих Харис,Хат,,,не найдено в категории
Мостай Кәрим,Билдәһеҙ һалдат,,,не найдено в категории
Вахитова Светлана,Билдәһеҙ һалдат ҡәбере,,,не найдено в категории
Баязит Бикбай,Ер (отрывок из поэмы),,,не найдено в категории
Салауат Юлаев,Тыуған ил,Башҡортостан -Тыуған илең...(шиғыр). Айһылыу Йәғәфәрова,https://wikisource.org/wiki/%D0%91%D0%B0%D1%88%D2%A1%D0%BE%D1%80%D1%82%D0%BE%D1%81%D1%82%D0%B0%D0%BD_-%D0%A2%D1%8B%D1%83%D2%93%D0%B0%D0%BD_%D0%B8%D0%BB%D0%B5%D2%A3...%28%D1%88%D0%B8%D2%93%D1%8B%D1%80%29._%D0%90%D0%B9%D2%BB%D1%8B%D0%BB%D1%8B%D1%83_%D0%99%D3%99%D2%93%D3%99%D1%84%D3%99%D1%80%D0%BE%D0%B2%D0%B0,совпадение только по названию
Салауат Юлаев,Тыуған ил,Тыуған ил (шиғыр),https://wikisource.org/wiki/%D0%A2%D1%8B%D1%83%D2%93%D0%B0%D0%BD_%D0%B8%D0%BB_%28%D1%88%D0%B8%D2%93%D1%8B%D1%80%29,совпадение только по названию
Салауат Юлаев,Тыуған ил,Тыуған илем. Салауат Юлаев,https://wikisource.org/wiki/%D0%A2%D1%8B%D1%83%D2%93%D0%B0%D0%BD_%D0%B8%D0%BB%D0%B5%D0%BC._%D0%A1%D0%B0%D0%BB%D0%B0%D1%83%D0%B0%D1%82_%D0%AE%D0%BB%D0%B0%D0%B5%D0%B2,точное совпадение (название+автор)
Шәихзада Бабич,Халҡым өсөн,Халҡым өсөн. Шәйехзада Бабич,https://wikisource.org/wiki/%D0%A5%D0%B0%D0%BB%D2%A1%D1%8B%D0%BC_%D3%A9%D1%81%D3%A9%D0%BD._%D0%A8%D3%99%D0%B9%D0%B5%D1%85%D0%B7%D0%B0%D0%B4%D0%B0_%D0%91%D0%B0%D0%B1%D0%B8%D1%87,точное совпадение (название+автор)
Мостай Кәрим,Уҡытыусыма,Уҡытыусыма. Рәми Ғарипов,https://wikisource.org/wiki/%D0%A3%D2%A1%D1%8B%D1%82%D1%8B%D1%83%D1%81%D1%8B%D0%BC%D0%B0._%D0%A0%D3%99%D0%BC%D0%B8_%D2%92%D0%B0%D1%80%D0%B8%D0%BF%D0%BE%D0%B2,совпадение только по названию
Мостай Кәрим,Ҡыш килгәс,,,не найдено в категории
Зәйнәб Биишева,Башҡорт теле,,,не найдено в категории
Лилия Сакмар,Батырлык,,,не найдено в категории
Гүзәл Ситдиҡова,Ғаилә байрамы,,,не найдено в категории
Фәүзиә Рәхимғолова,Олатайым,,,не найдено в категории
Рәми Ғарипов,Сыйырсыҡ,Сыйырсыҡ(шиғыр). Рәми Ғарипов,https://wikisource.org/wiki/%D0%A1%D1%8B%D0%B9%D1%8B%D1%80%D1%81%D1%8B%D2%A1%28%D1%88%D0%B8%D2%93%D1%8B%D1%80%29._%D0%A0%D3%99%D0%BC%D0%B8_%D2%92%D0%B0%D1%80%D0%B8%D0%BF%D0%BE%D0%B2,точное совпадение (название+автор)
Зульфия Ханнанова,Мин иланым,,,не найдено в категории
Салавата Абузара,Уфа,,,не найдено в категории
Фәүзиә Рәхимғолова,Матур менән көслө,,,не найдено в категории
Гульфия Юнусова,Башкортостан,,,не найдено в категории
Зәйнәб Биишева,Башҡорт теле,,,не найдено в категории
Рәсимә Ураҡсина,Башкортостан - баш илем,,,не найдено в категории
Рәми Ғарипов,Яндырылған хаттар,,,не найдено в категории
Мостай Кәрим,Ҡайын япрағы тураһында,,,не найдено в категории
Минигуль Хисмәтуллина,Безнең гаилә,,,не найдено в категории
Сафуан Әлибаев,Турғай,,,не найдено в категории
Рафаэль Сафин,Ҡыр ҡаҙҙары,,,не найдено в категории
Зәйнәб Биишева,Башҡорт теле,,,не найдено в категории
Мостай Кәрим,Ҡайын япрағы тураһында,,,не найдено в категории
Мостай Кәрим,Ҡайын япрағы тураһында,,,не найдено в категории
Рәми Ғарипов,Тыуған тел,,,не найдено в категории
Зәйнәб Биишева,Башҡорт теле,,,не найдено в категории
собственное сочинение,Күңелем ынйылары,,,не найдено в категории
Абдулхаҡ Игебаев,Тыуган ер,,,не найдено в категории
Абдулхаҡ Игебаев,"Һау булығыҙ, аҡҡоштар",,,не найдено в категории
Рафаэль Сафин,Тол ҡатындар һәм аяҡһыҙҙар бейеүе,,,не найдено в категории
Мостай Кәрим,Уҡытыусыма,Уҡытыусыма. Рәми Ғарипов,https://wikisource.org/wiki/%D0%A3%D2%A1%D1%8B%D1%82%D1%8B%D1%83%D1%81%D1%8B%D0%BC%D0%B0._%D0%A0%D3%99%D0%BC%D0%B8_%D2%92%D0%B0%D1%80%D0%B8%D0%BF%D0%BE%D0%B2,совпадение только по названию
Рәми Ғарипов,Башҡорт теле,,,не найдено в категории
Шәихзада Бабич,Ҡурайҡайға,Ҡурайҡайға. Шәйехзада Бабич,https://wikisource.org/wiki/%D2%A0%D1%83%D1%80%D0%B0%D0%B9%D2%A1%D0%B0%D0%B9%D2%93%D0%B0._%D0%A8%D3%99%D0%B9%D0%B5%D1%85%D0%B7%D0%B0%D0%B4%D0%B0_%D0%91%D0%B0%D0%B1%D0%B8%D1%87,точное совпадение (название+автор)
Шәихзада Бабич,Кышкы юлда,,,не найдено в категории
Абдулхаҡ Игебаев,Курай,,,не найдено в категории
Рәми Ғарипов,Тыуған тел,,,не найдено в категории
Рәми Ғарипов,Ниңә өндәшмәйһең?,,,не найдено в категории
Рәми Ғарипов,Сыйырсыҡ,Сыйырсыҡ(шиғыр). Рәми Ғарипов,https://wikisource.org/wiki/%D0%A1%D1%8B%D0%B9%D1%8B%D1%80%D1%81%D1%8B%D2%A1%28%D1%88%D0%B8%D2%93%D1%8B%D1%80%29._%D0%A0%D3%99%D0%BC%D0%B8_%D2%92%D0%B0%D1%80%D0%B8%D0%BF%D0%BE%D0%B2,точное совпадение (название+автор)
Рафаэль Сафин,Торналар осканда,,,не найдено в категории
Рәми Ғарипов,Тыуған тел,,,не найдено в категории
Фәүзиә Рәхимғолова,Матур менән көслө,,,не найдено в категории
Кәтибә Кинйәбулатова,Барыһы бар,Барыһы бар(шиғыр). Кәтибә Кинйәбулатова,https://wikisource.org/wiki/%D0%91%D0%B0%D1%80%D1%8B%D2%BB%D1%8B_%D0%B1%D0%B0%D1%80%28%D1%88%D0%B8%D2%93%D1%8B%D1%80%29._%D0%9A%D3%99%D1%82%D0%B8%D0%B1%D3%99_%D0%9A%D0%B8%D0%BD%D0%B9%D3%99%D0%B1%D1%83%D0%BB%D0%B0%D1%82%D0%BE%D0%B2%D0%B0,точное совпадение (название+автор)
Риф Мифтахов,Бергә йыйһаң,,,не найдено в категории
Зәйнәб Биишева,Башҡорт теле,,,не найдено в категории
Рәми Ғарипов,Тейен,,,не найдено в категории
Рәми Ғарипов,Тыуған тел,,,не найдено в категории
Рәми Ғарипов,Тыуған тел,,,не найдено в категории
Рәми Ғарипов,Инәкәйем! Мин алдараҡ китһәм...,,,не найдено в категории
Равиль Нигматуллин,Башкортостан,,,не найдено в категории
Альфия Асадуллина,Башҡортостан флагы,,,не найдено в категории
Мостай Кәрим,"Мин фронтҡа китәм, иптәштәр!",,,не найдено в категории
Зәйнәб Биишева,Дан һиңә тыуған илем,,,не найдено в категории
Мостай Кәрим,Үҙемә әйткән һүҙ,,,не найдено в категории
Мостай Кәрим,Уҡытыусыма,Уҡытыусыма. Рәми Ғарипов,https://wikisource.org/wiki/%D0%A3%D2%A1%D1%8B%D1%82%D1%8B%D1%83%D1%81%D1%8B%D0%BC%D0%B0._%D0%A0%D3%99%D0%BC%D0%B8_%D2%92%D0%B0%D1%80%D0%B8%D0%BF%D0%BE%D0%B2,совпадение только по названию
Рашит Шакур,"Ерем, илем, телем",,,не найдено в категории
Рамиль Янбеков,"Мәңге йәшә, Башҡортостан!",,,не найдено в категории
Абдулхаҡ Игебаев,Әсә күңеле,Әсә күңеле(шиғыр). Абдулхаҡ Игебаев,https://wikisource.org/wiki/%D3%98%D1%81%D3%99_%D0%BA%D2%AF%D2%A3%D0%B5%D0%BB%D0%B5%28%D1%88%D0%B8%D2%93%D1%8B%D1%80%29._%D0%90%D0%B1%D0%B4%D1%83%D0%BB%D1%85%D0%B0%D2%A1_%D0%98%D0%B3%D0%B5%D0%B1%D0%B0%D0%B5%D0%B2,точное совпадение (название+автор)
Мостай Кәрим,Билдәһеҙ һалдат,,,не найдено в категории
Рауил Бикбаев,Халҡыма хат,,,не найдено в категории
Гүзәл Ситдиҡова,"Әй ашыҡтың ,әсәй...","Әй ашыҡтың, әсәй. Гүзәл Ситдиҡова",https://wikisource.org/wiki/%D3%98%D0%B9_%D0%B0%D1%88%D1%8B%D2%A1%D1%82%D1%8B%D2%A3%2C_%D3%99%D1%81%D3%99%D0%B9._%D0%93%D2%AF%D0%B7%D3%99%D0%BB_%D0%A1%D0%B8%D1%82%D0%B4%D0%B8%D2%A1%D0%BE%D0%B2%D0%B0,точное совпадение (название+автор)
Рәми Ғарипов,Йырҙарыма ҡайтам,,,не найдено в категории
Мостай Кәрим,"Рус түгелмен, ләкин россиян мин","Рус түгелмен, ләкин россиян мин. Мостай Кәрим",https://wikisource.org/wiki/%D0%A0%D1%83%D1%81_%D1%82%D2%AF%D0%B3%D0%B5%D0%BB%D0%BC%D0%B5%D0%BD%2C_%D0%BB%D3%99%D0%BA%D0%B8%D0%BD_%D1%80%D0%BE%D1%81%D1%81%D0%B8%D1%8F%D0%BD_%D0%BC%D0%B8%D0%BD._%D0%9C%D0%BE%D1%81%D1%82%D0%B0%D0%B9_%D0%9A%D3%99%D1%80%D0%B8%D0%BC,точное совпадение (название+автор)
Хәниф Кәрим,Түктермәгез күҙ йәшкәйен,,,не найдено в категории
Салауат Юлаев,Уралым,Уралым. Салауат Юлаев,https://wikisource.org/wiki/%D0%A3%D1%80%D0%B0%D0%BB%D1%8B%D0%BC._%D0%A1%D0%B0%D0%BB%D0%B0%D1%83%D0%B0%D1%82_%D0%AE%D0%BB%D0%B0%D0%B5%D0%B2,точное совпадение (название+автор)
Абдулхаҡ Игебаев,Курай,,,не найдено в категории
Әнгам Атнабаев,Кара икмәк,,,не найдено в категории
Акмулла Камалетдинов,Башкортостан,,,не найдено в категории
Акмулла Камалетдинов,Башкортостан,,,не найдено в категории
Ф.Туғыҙбаева,Башкортостан,,,не найдено в категории
Шәихзада Бабич,Ал данур сәсхалҡыңа,,,не найдено в категории
Гульфия Юнусова,Байрам,,,не найдено в категории
Шәихзада Бабич,"Эй,китап!","Эй, китап. Шәйехзада Бабич",https://wikisource.org/wiki/%D0%AD%D0%B9%2C_%D0%BA%D0%B8%D1%82%D0%B0%D0%BF._%D0%A8%D3%99%D0%B9%D0%B5%D1%85%D0%B7%D0%B0%D0%B4%D0%B0_%D0%91%D0%B0%D0%B1%D0%B8%D1%87,точное совпадение (название+автор)
Рауил Бикбаев,Иң беренсе мөғжизә,,,не найдено в категории
Рауил Бикбаев,Иң беренсе мөғжизә,,,не найдено в категории
Шәихзада Бабич,Халҡым өсөн,Халҡым өсөн. Шәйехзада Бабич,https://wikisource.org/wiki/%D0%A5%D0%B0%D0%BB%D2%A1%D1%8B%D0%BC_%D3%A9%D1%81%D3%A9%D0%BD._%D0%A8%D3%99%D0%B9%D0%B5%D1%85%D0%B7%D0%B0%D0%B4%D0%B0_%D0%91%D0%B0%D0%B1%D0%B8%D1%87,точное совпадение (название+автор)
Гульфия Юнусова,Табын,,,не найдено в категории
Риф Мифтахов,Бергә йыйһаң,,,не найдено в категории
Р.Лоҡманов,Өләсәйҙән бер һабаҡ,,,не найдено в категории
Рәми Ғарипов,Башҡорт теле,,,не найдено в категории
Мостай Кәрим,"Бөтәһе лә ябай, асыҡ…",,,не найдено в категории
Салауат Юлаев,Тыуған илем,Тыуған илем. Салауат Юлаев,https://wikisource.org/wiki/%D0%A2%D1%8B%D1%83%D2%93%D0%B0%D0%BD_%D0%B8%D0%BB%D0%B5%D0%BC._%D0%A1%D0%B0%D0%BB%D0%B0%D1%83%D0%B0%D1%82_%D0%AE%D0%BB%D0%B0%D0%B5%D0%B2,точное совпадение (название+автор)
Мостай Кәрим,Уҡытыусыма,Уҡытыусыма. Рәми Ғарипов,https://wikisource.org/wiki/%D0%A3%D2%A1%D1%8B%D1%82%D1%8B%D1%83%D1%81%D1%8B%D0%BC%D0%B0._%D0%A0%D3%99%D0%BC%D0%B8_%D2%92%D0%B0%D1%80%D0%B8%D0%BF%D0%BE%D0%B2,совпадение только по названию
Абдулхаҡ Игебаев,"Һай, тыуған ер, ғәзиз ер!",,,не найдено в категории
Зәйнәб Биишева,Башҡорт теле,,,не найдено в категории
Рауил Бикбаев,Сәскәтөбәк,,,не найдено в категории
Мостай Кәрим,Акмуллага,,,не найдено в категории
Мостай Кәрим,Улмасбай мажаралары,,,не найдено в категории
Тимер Арыҫлан,Рәхмәт әсәйҙәргә,,,не найдено в категории
Рәйсә Абдуллина,Әсәйемә,,,не найдено в категории
Г. Ситдиков,Яратам,,,не найдено в категории
Рашит Шакур,"Ерем, илем, телем",,,не найдено в категории
Рәми Ғарипов,Иртә,,,не найдено в категории
Ринат Хәйри,Бәхәс,,,не найдено в категории
Рауил Бикбаев,Вокзал (отрывок из поэмы),,,не найдено в категории
Кубаир,Әсә йөрәге,,,не найдено в категории
Мәлих Харис,Хат,,,не найдено в категории
Рәми Ғарипов,Тыуған тел,,,не найдено в категории
Рәми Ғарипов,Егерме йыл үткәс...,,,не найдено в категории
Азат Каримов,Тыуған илем,Тыуған илем. Салауат Юлаев,https://wikisource.org/wiki/%D0%A2%D1%8B%D1%83%D2%93%D0%B0%D0%BD_%D0%B8%D0%BB%D0%B5%D0%BC._%D0%A1%D0%B0%D0%BB%D0%B0%D1%83%D0%B0%D1%82_%D0%AE%D0%BB%D0%B0%D0%B5%D0%B2,совпадение только по названию
Гариф Гумер,Башҡортостанға,Башҡортостанға йыр,https://wikisource.org/wiki/%D0%91%D0%B0%D1%88%D2%A1%D0%BE%D1%80%D1%82%D0%BE%D1%81%D1%82%D0%B0%D0%BD%D2%93%D0%B0_%D0%B9%D1%8B%D1%80,совпадение только по названию
Рәсимә Ураҡсина,Әсәй,,,не найдено в категории
Салауат Юлаев,Уралым,Уралым. Салауат Юлаев,https://wikisource.org/wiki/%D0%A3%D1%80%D0%B0%D0%BB%D1%8B%D0%BC._%D0%A1%D0%B0%D0%BB%D0%B0%D1%83%D0%B0%D1%82_%D0%AE%D0%BB%D0%B0%D0%B5%D0%B2,точное совпадение (название+автор)
Аҡмулла,"Башҡорттарым, уҡыу кәрәк!","Башҡорттарым, уҡыу кәрәк! М. Аҡмулла",https://wikisource.org/wiki/%D0%91%D0%B0%D1%88%D2%A1%D0%BE%D1%80%D1%82%D1%82%D0%B0%D1%80%D1%8B%D0%BC%2C_%D1%83%D2%A1%D1%8B%D1%83_%D0%BA%D3%99%D1%80%D3%99%D0%BA%21_%D0%9C._%D0%90%D2%A1%D0%BC%D1%83%D0%BB%D0%BB%D0%B0,точное совпадение (название+автор)
Мостай Кәрим,"Мин фронтка китэм, иптэштэр!",,,не найдено в категории
Гульфия Юнусова,Башкортостан,,,не найдено в категории
Ф.Туғыҙбаева,Башкортостан,,,не найдено в категории
Рәми Ғарипов,Тыуған тел,,,не найдено в категории
Гульфия Юнусова,Башкортостан,,,не найдено в категории
Гайнан Амири,Ана йореге,,,не найдено в категории
Мостай Кәрим,Ҡоштар осорам,,,не найдено в категории
Рәми Ғарипов,Башҡорт теле,,,не найдено в категории
Мостай Кәрим,"Мин фронтҡа китәм, иптәштәр!",,,не найдено в категории
Рафаэль Сафин,Ҡыр ҡаҙҙары,,,не найдено в категории
Мәжит Ғафури,Гөлдәр баҡсаһында,,,не найдено в категории
